Year,Year ending,Police Region,LocalGovernmentArea,Offence Count,"Rate per 100,000 population"
2022,March,1 North West Metro,Merri-bek,"11,521","6,587.70"
2022,March,1 North West Metro,Moonee Valley,"7,844","6,371.10"
2022,March,1 North West Metro,Nillumbik,"2,153","3,413.90"
2022,March,1 North West Metro,Whittlesea,"12,504","5,272.80"
2022,March,1 North West Metro,Wyndham,"15,930","5,148.70"
2022,March,1 North West Metro,Yarra,"11,379","12,316.00"
2022,March,1 North West Metro,Total,"176,751","7,828.80"
2022,March,2 Eastern,Alpine,548,"4,154.30"
2022,March,2 Eastern,BassCoast,"3,013","7,205.90"
2022,March,2 Eastern,Baw Baw,"4,272","7,206.80"
2022,March,2 Eastern,Benalla,"1,385","9,576.20"
2022,March,2 Eastern,Boroondara,"7,203","4,246.30"
2022,March,2 Eastern,East Gippsland,"4,954","10,122.80"
2022,March,2 Eastern,Greater Shepparton,"8,741","12,674.70"
2022,March,2 Eastern,Indigo,674,"3,868.00"
2022,March,2 Eastern,Knox,"9,524","5,969.30"
2022,March,2 Eastern,Latrobe,"10,978","14,127.80"
2022,March,2 Eastern,Manningham,"3,823","3,020.50"
2022,March,2 Eastern,Mansfield,447,"4,323.90"
2022,March,2 Eastern,Maroondah,"7,299","6,305.30"
2022,March,2 Eastern,Mitchell,"3,486","6,745.10"
2022,March,2 Eastern,Moira,"2,142","7,003.70"
2022,March,2 Eastern,Monash,"11,160","5,720.70"
2022,March,2 Eastern,Murrindindi,815,"5,308.40"
2022,March,2 Eastern,South Gippsland,"1,644","5,353.70"
2022,March,2 Eastern,Strathbogie,710,"6,165.90"
2022,March,2 Eastern,Towong,183,"2,952.60"
2022,March,2 Eastern,Wangaratta,"2,366","7,909.10"
2022,March,2 Eastern,Wellington,"4,278","9,336.90"
2022,March,2 Eastern,Whitehorse,"7,246","4,198.00"
2022,March,2 Eastern,Wodonga,"3,635","8,315.00"
2022,March,2 Eastern,Yarra Ranges,"7,165","4,550.20"
2022,March,2 Eastern,Total,"107,691","6,282.00"
2022,March,3 Southern Metro,Bayside,"4,398","4,301.60"
2022,March,3 Southern Metro,Cardinia,"6,164","5,004.00"
2022,March,3 Southern Metro,Casey,"19,748","5,209.10"
2022,March,3 Southern Metro,Frankston,"11,714","8,298.30"
2022,March,3 Southern Metro,Glen Eira,"6,546","4,311.60"
2022,March,3 Southern Metro,Greater Dandenong,"15,510","9,736.70"
2022,March,3 Southern Metro,Kingston,"9,453","5,904.20"
2022,March,3 Southern Metro,Mornington Peninsula,"8,842","5,209.40"
2022,March,3 Southern Metro,Port Phillip,"12,008","11,535.50"
2022,March,3 Southern Metro,Stonnington,"10,350","9,716.10"
2022,March,3 Southern Metro,Total,"104,733","6,557.00"
2022,March,4 Western,Ararat,"1,495","12,714.70"
2022,March,4 Western,Ballarat,"10,290","8,869.80"
2022,March,4 Western,Buloke,310,"5,065.40"
2022,March,4 Western,Campaspe,"3,230","8,377.40"
2022,March,4 Western,Central Goldfields,"1,126","8,328.40"
2022,March,4 Western,Colac-Otway,"1,615","7,275.40"
2022,March,4 Western,Corangamite,840,"5,250.30"
2022,March,4 Western,Gannawarra,796,"7,556.50"
2022,March,4 Western,Glenelg,"1,717","8,564.00"
2022,March,4 Western,Golden Plains,595,"2,349.80"
2022,March,4 Western,Greater Bendigo,"10,216","8,325.70"
2022,March,4 Western,Greater Geelong,"19,924","7,203.20"
2022,March,4 Western,Hepburn,545,"3,288.50"
2022,March,4 Western,Hindmarsh,442,"7,891.40"
2022,March,4 Western,Horsham,"2,334","11,470.40"
2022,March,4 Western,Loddon,510,"6,580.60"
2022,March,4 Western,Macedon Ranges,"1,894","3,628.20"
2022,March,4 Western,Mildura,"6,900","12,052.40"
2022,March,4 Western,Moorabool,"2,042","5,300.30"
2022,March,4 Western,Mount Alexander,951,"4,679.20"
2022,March,4 Western,Moyne,778,"4,451.30"
2022,March,4 Western,Northern Grampians,"1,049","8,830.70"
2022,March,4 Western,Pyrenees,436,"5,697.10"
2022,March,4 Western,Queenscliffe,137,"4,253.30"
2022,March,4 Western,Southern Grampians,"1,157","7,054.40"
2022,March,4 Western,Surf Coast,"1,350","3,490.90"
2022,March,4 Western,Swan Hill,"2,435","11,464.80"
2022,March,4 Western,Warrnambool,"3,117","8,761.50"
2022,March,4 Western,West Wimmera,192,"4,869.40"
2022,March,4 Western,Yarriambiack,417,"6,478.20"
2022,March,4 Western,Total,"78,840","7,434.60"
2022,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"1,939",
2022,March,Justice Institutions and Immigration Facilities,Total,"1,939",
2022,March,Unincorporated Vic,Unincorporated Vic,95,
2022,March,Unincorporated Vic,Total,95,
2021,March,1 North West Metro,Banyule,"8,761","6,878.40"
2021,March,1 North West Metro,Brimbank,"19,076","9,701.40"
2021,March,1 North West Metro,Darebin,"15,006","9,984.30"
2021,March,1 North West Metro,Hobsons Bay,"5,844","6,333.80"
2021,March,1 North West Metro,Hume,"21,032","8,517.70"
2021,March,1 North West Metro,Maribyrnong,"8,854","10,249.50"
2021,March,1 North West Metro,Melbourne,"35,707","23,321.10"
2021,March,1 North West Metro,Melton,"13,977","7,707.40"
2021,March,1 North West Metro,Merri-bek,"12,931","7,453.00"
2021,March,1 North West Metro,Moonee Valley,"7,873","6,403.40"
2021,March,1 North West Metro,Nillumbik,"2,146","3,382.20"
2021,March,1 North West Metro,Whittlesea,"16,017","6,908.90"
