STOP_NAME,longitude,latitude
47-Tooronga Rd/Malvern Rd (Glen Iris),145.04230600257875,-37.85329088039291
46-Shaftesbury Ave/Malvern Rd (Malvern),145.03882876108094,-37.85284583011153
45-Elizabeth St/Malvern Rd (Malvern),145.0355099224404,-37.85242085009575
44-Plant St/Malvern Rd (Malvern),145.0328938040203,-37.85207084012069
43-Glenferrie Rd/Malvern Rd (Malvern),145.03021000613774,-37.85170985018067
42-Lauriston Girls School/Malvern Rd (Armadale),145.0263367700973,-37.851176870331216
41-Murray St/Malvern Rd (Malvern),145.02392405191503,-37.85086583012208
40-Kooyong Rd/Malvern Rd (Toorak),145.02160205238246,-37.85057485951198
39-Densham Rd/Malvern Rd (Toorak),145.01843189306186,-37.85014285864452
38-Clendon Rd/Malvern Rd (Toorak),145.0156228136325,-37.84977988783276
37-Orrong Rd/Malvern Rd (Toorak),145.01247497427468,-37.84936687687958
51-Hawthorn Rd/Glenhuntly Rd (Caulfield),145.0217698292409,-37.88679581002814
52-Jasmine St/Glenhuntly Rd (Caulfield),145.02412711556903,-37.88709686002721
53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield),145.02675583258915,-37.88743787010958
54-Bambra Rd/Glenhuntly Rd (Caulfield),145.02869478633798,-37.887659810187486
55-Fallon St/Glenhuntly Rd (Caulfield),145.0306207798158,-37.8879178402467
56-Kambrook Rd/Glenhuntly Rd (Caulfield),145.03309109098257,-37.88823788029937
57-Clarke Ave/Glenhuntly Rd (Caulfield East),145.03512004336008,-37.888488890324524
58-Booran Rd/Glenhuntly Rd (Caulfield East),145.03754607382515,-37.888780850333575
60-Glenhuntly Shops/Glenhuntly Rd (Caulfield East),145.04048186414437,-37.88911889029938
61-Glenhuntly Railway Station/Glenhuntly Rd (Caulfield South),145.04183006531804,-37.889293850237515
62-Grange Rd/Glenhuntly Rd (Caulfield East),145.0445959481142,-37.88961983014208
34-Maribyrnong Rd/Ascot Vale Rd (Moonee Ponds),144.92402984328876,-37.77243882387863
35-Moore St/Maribyrnong Rd (Moonee Ponds),144.92123984249653,-37.77232686358264
