streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
18 Seabrook Way,950.0,5.0,2.0,3.0,Seaford,VIC,3198,House,"['Yarrabah School', 'Seaford North Primary School', 'Patterson River Secondary College', ""St Anne's School"", 'Cornish College', ""St Joachim's School"", ""St Joseph's School"", 'Naranga Special School', 'Southern Autistic School', 'Nepean Special School']",FTTC,balanced age,
6 Maywood Street,600.0,3.0,2.0,2.0,Pakenham,VIC,3810,House,"['Pakenham Springs Primary School', 'Community College Gippsland Ltd | ECG Secondary College - ECG College Pakenham', 'Beaconhills College', 'Pakenham Secondary College', ""St Patrick's School"", 'Lakeside College']",FTTP,balanced age,
10/15 Southey Street,400.0,1.0,1.0,1.0,Elwood,VIC,3184,Apartment,"['Beth Rivkah Ladies College', 'Sholem Aleichem College - Senior Campus', 'Adass Israel School - Glen Eira Road Campus', 'Cheder Levi Yitzchok Inc', 'Mount Scopus Memorial College - Gandel Besen House Campus', 'St Kilda Primary School', ""Christian Brothers' College - Balaclava Campus"", ""St Columba's School"", 'Yeshivah College', 'Port Phillip Specialist School', 'Sholem Aleichem College', 'Southern Autistic School', 'Yesodei HaTorah College', 'Elwood College']",HFC,balanced age,
1/60 Ward Street,520.0,3.0,1.0,2.0,Glenroy,VIC,3046,House,"['Ilim College - Glenroy Campus', 'Penola Catholic College', 'Corpus Christi School', 'Darul Ulum College of Victoria', 'Belle Vue Park Primary School', 'Sirius College', 'Pascoe Vale Girls Secondary College', ""St Matthew's School"", ""St Dominic's School"", ""St Mark's School"", 'Glenroy Private', ""St Thomas More's School"", 'Glenroy Secondary College']",FTTC,balanced age,
101/50 Victoria St,600.0,2.0,1.0,1.0,Brunswick East,VIC,3057,Apartment,"['Deutsche Schule Melbourne', 'Santa Maria College', 'Croxton Special School', ""St Bernard's School"", 'Fitzroy Community School', 'Northcote High School', ""St Joseph's School"", 'Hester Hornbrook Academy - North Fitzroy Campus', ""St Margaret Mary's School"", ""St Mary's School"", 'Our Lady Help of Christians School', 'Fitzroy Community School - Thornbury Campus', 'Brunswick East Primary School']",FTTP,balanced age,"{'latitude': -37.7690778, 'longitude': 144.9792236}"
2504/620 Collins Street,700.0,2.0,1.0,1.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', ""Stott's Colleges"", 'University High School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
207/10 Bruce St,440.0,1.0,1.0,1.0,Box Hill,VIC,3128,Apartment,"['Our Lady of Perpetual Succour School', ""St Francis Xavier's School"", 'St Thomas the Apostle School', 'Box Hill Senior Secondary College', 'Berengarra School', 'Our Holy Redeemer School', 'Box Hill High School', 'Bulleen Heights School', ""St Bridget's School"", 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Our Lady of Sion College', 'Kingswood College', 'Box Hill North Primary School', 'Bulleen Heights School-Manningham Road Campus', 'St Luke the Evangelist School']",HFC,20 - 39,"{'latitude': -37.8164237, 'longitude': 145.1223768}"
47 Festival Grove,520.0,4.0,1.0,2.0,Lalor,VIC,3075,House,"['Lalor Gardens Primary School', ""St Luke's School"", ""St Catherine's School"", ""St Monica's College"", ""St Monica's College - Dalton Road Campus"", 'St John XXIII Primary School', ""St Clare's School"", 'St Mary of the Cross MacKillop Catholic Parish Primary School', 'Merriang Special Developmental School', ""St Peter's School"", 'Thomastown Secondary College', 'St Francis of Assisi School', 'Preston Reservoir Adult Community Education Inc | Prace College']",FTTC,balanced age,
304/40 Burgundy Street,500.0,2.0,1.0,1.0,Heidelberg,VIC,3084,Apartment,"[""St John's School"", 'Marcellin College', 'Our Lady of Mercy College', 'Mary Immaculate School', 'Viewbank College', ""St Bernadette's School"", 'Ivanhoe Grammar School', 'St Clement of Rome School', 'St Pius X School', ""Ivanhoe Girls' Grammar School"", 'Heidelberg Primary School', 'St Martin of Tours School']",,balanced age,
5 Compton Street,625.0,3.0,1.0,2.0,Mitcham,VIC,3132,House,"[""St John's School"", 'Nunawading Christian College - Secondary', 'Whitefriars College Inc', 'Our Lady of the Pines School', 'Donvale Christian College', ""St Philip's School"", 'Mitcham Primary School', ""Ss Peter & Paul's School"", 'St Thomas the Apostle School', 'Mullauna Secondary College', 'Nunawading Christian College - Primary', 'Carey Baptist Grammar School - Donvale Campus']",HFC,balanced age,"{'latitude': -37.8058542, 'longitude': 145.1884076}"
