streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
1005/180 City Road,635.0,2.0,1.0,1.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Galilee Regional Catholic Primary School', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTB,20 - 39,
805/233 Collins Street,590.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",FTTB,20 - 39,
321/3 Snake Gully Drive,450.0,2.0,1.0,1.0,Bundoora,VIC,3083,Apartment,"['Bundoora Primary School', 'Bundoora Secondary College', 'St John XXIII Primary School', 'Maharishi School of the Age of Enlightenment', 'Loyola College', ""St Damian's School"", 'Northside Christian College', 'Parade College', 'Our Lady of the Way School', 'East Preston Islamic College', ""St Stephen's School"", 'Ivanhoe Grammar School - University Campus']",FTTP,20 - 39,
8 Joffre Street,640.0,3.0,2.0,1.0,Broadmeadows,VIC,3047,Townhouse/Villa,"['My College', 'Meadows Primary School', 'Penola Catholic College', 'Ilim College - Kiewa Campus', 'Sirius College - Dallas Campus', 'Ilim College', 'SEDA College (Victoria) - Basketball Broadmeadows', 'Sirius College', ""St Dominic's School"", 'Sirius College - Meadow Fair Campus', 'Glenroy Private', 'Hume Central Secondary College']",,balanced age,
4/373 Toorak Road,725.0,2.0,2.0,1.0,South Yarra,VIC,3141,Apartment,"['Melbourne Girls College', 'Geelong Grammar School - Toorak campus', 'Kamaruka - Primary Campus', 'Kamaruka', 'Christ Church Grammar School', 'Hester Hornbrook Academy - Prahran Campus', 'Our Lady of Lourdes School', ""St Catherine's School"", 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Southern Autistic School', 'Toorak Primary School', 'Prahran High School', 'Loreto Mandeville Hall']",HFC,20 - 39,
6 Crimea Street,2400.0,4.0,2.0,2.0,St Kilda,VIC,3182,House,"[""St Mary's College Melbourne - Presentation Campus"", 'Wesley College', 'Windsor Primary School', 'Cheder Levi Yitzchok Inc', 'Hester Hornbrook Academy - Prahran Campus', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTC,balanced age,"{'latitude': -37.85799919999999, 'longitude': 144.9886295}"
74 Clarence Street,500.0,3.0,1.0,0.0,Geelong West,VIC,3218,House,"['Ashby Primary School', 'The Geelong College', 'Holy Spirit Parish School', ""St John's Lutheran School Geelong"", ""St Patrick's School"", ""St Joseph's College Geelong - Westcourt Campus"", 'Clonard College', 'The Geelong College Preparatory School', ""Geelong Lutheran College - St John's Newtown Campus"", 'Nelson Park School', 'Sacred Heart College', 'Western Heights Secondary College', 'Matthew Flinders Girls Secondary College', ""St Joseph's College Geelong""]",FTTN,balanced age,
21 Loller Street,670.0,2.0,1.0,0.0,Brighton,VIC,3186,House,"['Brighton Secondary College', 'Xavier College - Kostka Hall', ""St Leonard's College"", 'Brighton Grammar School - Primary Campus', 'Firbank Grammar School', 'Melbourne Montessori School - Brighton East Campus', 'Brighton Grammar School', ""St Finbar's School"", 'St Joan of Arc School', 'Southern Autistic School', 'Xavier College - Billilla Annex Campus', 'Firbank Grammar School - Second Campus', 'Brighton Primary School']",HFC,balanced age,
Carpark5118/70 Southbank Boulevard,50.0,0.0,0.0,1.0,Southbank,VIC,3006,House,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Melbourne Grammar School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",,20 - 39,
909/488 SWANSTON Street,500.0,2.0,1.0,0.0,Carlton,VIC,3053,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Academy of Mary Immaculate', 'Haileybury College - City Girls', 'Simonds Catholic College']",FTTB,20 - 39,
1/4 Bogong Court,900.0,4.0,2.0,2.0,Doncaster East,VIC,3109,Townhouse/Villa,"['East Doncaster Secondary College', 'Whitefriars College Inc', 'St Gregory the Great School', 'Our Lady of the Pines School', 'St Charles Borromeo School', 'Donvale Christian College', 'Berengarra School', 'Bulleen Heights School', ""St Philip's School"", 'Donburn Primary School', ""Ss Peter & Paul's School"", 'Bulleen Heights School-Manningham Road Campus', 'Nunawading Christian College - Primary', 'Carey Baptist Grammar School - Donvale Campus']",HFC,balanced age,
183A Koornang Road,600.0,2.0,1.0,1.0,Carnegie,VIC,3163,House,"['Kilvington Grammar School', 'Melbourne Montessori School - Grange Road Campus', ""St Patrick's School"", 'The Currajong School', 'Glen Eira College', ""St Anthony's School"", 'Carnegie Primary School', 'De La Salle College - Holy Eucharist Campus', 'Yesodei HaTorah College - Brighton Campus', ""St Kevin's School"", 'Mount Scopus Memorial College - Fink Karp Ivany Campus', 'Southern Autistic School', ""St Mary's School""]",HFC,balanced age,
307/604 St Kilda Road,670.0,2.0,2.0,1.0,Melbourne,VIC,3000,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Christ Church Grammar School', 'Windsor Primary School', 'Hester Hornbrook Academy - Prahran Campus', 'Cheder Levi Yitzchok Inc', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",,20 - 39,"{'latitude': -37.8512141, 'longitude': 144.9800934}"
23/12 Lahinch Mews,850.0,4.0,3.0,2.0,Torquay,VIC,3228,Apartment,"['Lisieux Catholic Primary School', 'Surf Coast Secondary College', 'Torquay Coast Primary School', 'St Therese School']",FTTP,balanced age,
4/1086 Lygon Street,700.0,3.0,1.0,0.0,Carlton North,VIC,3054,Apartment,"[""St John's School"", 'Princes Hill Primary School', 'Deutsche Schule Melbourne', ""Simonds Catholic College - St Brigid's VCE Campus"", 'Croxton Special School', 'Princes Hill Secondary College', 'Fitzroy Community School', ""St Joseph's School"", 'SEDA College (Victoria) - Cricket Australia -  Carlton', ""St Margaret Mary's School"", 'Our Lady Help of Christians School', 'SEDA College (Victoria) - Melbourne Sports Centres Parkville', 'Hester Hornbrook Academy - North Fitzroy Campus']",FTTP,balanced age,
2/75 Palmerston Street,860.0,3.0,2.0,1.0,Carlton,VIC,3053,Townhouse/Villa,"['Ozford College - Ozford College Campus', ""St John's School"", 'University High School', ""Simonds Catholic College - St Brigid's VCE Campus"", 'Holmes Grammar School', 'Fitzroy Community School', 'Ozford College', ""St Joseph's School"", 'Academy of Mary Immaculate', 'Sacred Heart School', 'Carlton Primary School', 'Hester Hornbrook Academy - North Fitzroy Campus']",FTTP,20 - 39,
481 Etiwanda Avenue,420.0,3.0,1.0,1.0,Mildura,VIC,3500,House,"['Mildura Primary School', ""St Joseph's College Mildura - Mercy Campus"", 'Trinity Lutheran College', ""St Paul's Primary School"", ""St Joseph's College Mildura - VCAL Precinct Campus"", 'Henderson College', 'Mildura Senior College', 'Sacred Heart School', 'Mildura Christian College', 'Indie School Wodonga - Indie School Mildura Campus', 'Chaffey Secondary College', ""St Joseph's College Mildura""]",FTTP,balanced age,
248 San Mateo Avenue,410.0,3.0,1.0,2.0,Mildura,VIC,3500,House,"['Mildura Primary School', ""St Joseph's College Mildura - Mercy Campus"", 'Trinity Lutheran College', ""St Paul's Primary School"", ""St Joseph's College Mildura - VCAL Precinct Campus"", 'Henderson College', 'Mildura Senior College', 'Sacred Heart School', 'Indie School Wodonga - Indie School Mildura Campus', 'Chaffey Secondary College', ""St Joseph's College Mildura""]",FTTP,balanced age,"{'latitude': -34.1990526, 'longitude': 142.156249}"
1/20 Oneill Street,620.0,3.0,2.0,1.0,North Bendigo,VIC,3550,House,"['Girton Grammar School', ""St Kilian's School"", 'Weeroona College Bendigo', 'SEDA College (Victoria) - Multi Bendigo', 'Lightning Reef Primary School', ""St Joseph's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', ""St Peter's School"", 'Doxa School Bendigo', ""St Liborius' School"", 'Creek Street Christian College', 'Girton Grammar School - Junior School']",FTTN,balanced age,
200 Spencer Street,55.0,0.0,0.0,1.0,Melbourne,VIC,3004,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
4 Arkle Street,1500.0,4.0,2.0,1.0,Prahran,VIC,3181,House,"[""St Mary's College Melbourne - Presentation Campus"", 'The King David School - Junior School', 'Windsor Primary School', 'Our Lady of Lourdes School', 'Hester Hornbrook Academy - Prahran Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', 'Southern Autistic School', 'The King David School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', 'Loreto Mandeville Hall', ""St Mary's College Melbourne - Edmund Rice Campus""]",HFC,balanced age,
5/214 Biggs Street,360.0,2.0,1.0,1.0,St Albans,VIC,3021,Apartment,"[""St Augustine's Primary School"", 'Jackson School', 'Catholic Regional College St Albans', 'St Mary MacKillop Primary School', 'Overnewton Anglican Community College - Yirramboi Campus', 'St Albans Secondary College', 'St Albans Primary School', 'Sacred Heart School', 'SEDA College (Victoria) - Melbourne City Sports Development Program - Cairnlea', 'Gilson College', 'Furlong Park School For Deaf Children', ""St Paul's Kealba Catholic School"", 'Resurrection School', 'Holy Eucharist School']",HFC,balanced age,
7a Turnbull Court,890.0,3.0,2.0,2.0,Brunswick West,VIC,3055,House,"['Moonee Ponds Primary School', 'Lowther Hall Anglican Grammar School', 'Antonine College', ""St Joseph's School"", ""St Fidelis' School"", ""St Columba's College"", ""St Therese's School"", 'Brunswick Secondary College', 'Furlong Park School For Deaf Children', ""St Vincent de Paul's School"", ""St Monica's Primary School"", 'Penleigh & Essendon Grammar School - Moonee Ponds Campus', 'Penleigh & Essendon Grammar School - Essendon Campus']",FTTP,balanced age,"{'latitude': -37.76, 'longitude': 144.9343207}"
1/30 Stephen Street,500.0,2.0,1.0,0.0,Yarraville,VIC,3013,Apartment,"[""St John's School"", 'Footscray City College', 'Footscray City Primary School', 'Corpus Christi School', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', 'Yarraville Special Developmental School', ""St Margaret Mary's School"", 'Sacred Heart School', 'Rosamond Special School', ""St Augustine's School"", ""St Monica's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",FTTP,balanced age,"{'latitude': -37.811668, 'longitude': 144.895037}"
18 Fern Avenue,690.0,2.0,1.0,0.0,Prahran,VIC,3181,House,"[""St Mary's College Melbourne - Presentation Campus"", 'Windsor Primary School', 'Our Lady of Lourdes School', 'The King David School', 'Hester Hornbrook Academy - Prahran Campus', 'Cheder Levi Yitzchok Inc', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",,20 - 39,
13 Eton Square,650.0,4.0,2.0,4.0,Wantirna,VIC,3152,House,"[""St Luke's School"", ""St Mary's College for the Deaf - Wantirna South Campus"", ""St James' School"", 'Our Lady of Lourdes School', 'Wantirna College', 'Vermont South Special School', 'Aquinas College', ""St Mary's College for the Deaf - Ringwood Campus"", 'Regency Park Primary School', 'SEDA College (Victoria) - Jubilee Park', 'St Andrews Christian College', 'Holy Trinity School', 'The Knox School']",HFC,balanced age,
510 Main Street,1200.0,8.0,4.0,4.0,Mordialloc,VIC,3195,House,"[""Mentone Girls' Grammar School"", ""St Bede's College"", ""St Patrick's School"", 'Stella Maris School', ""St John Vianney's School"", ""St Mark's School"", 'Parkdale Secondary College', 'Mordialloc Beach Primary School', ""St Brigid's School"", 'Southern Autistic School', 'Kilbreda College', ""St Louis de Montfort's School"", 'Mentone Grammar School', 'Nepean Special School']",FTTC,balanced age,"{'latitude': -38.0037737, 'longitude': 145.0841001}"
84 King Arthur Drive,750.0,4.0,2.0,3.0,Glen Waverley,VIC,3150,House,"['Waverley Christian College', ""St Timothy's School"", 'Holy Saviour Parish School', 'Wesley College - Glen Waverley Campus', 'Highvale Secondary College', 'Camelot Rise Primary School', 'Vermont South Special School', ""St Leonard's School"", ""St Christopher's School"", 'Emmaus College', 'Caulfield Grammar School - Wheelers Hill Campus', 'SEDA College (Victoria) - Basketball Burwood', 'The Knox School']",HFC,balanced age,"{'latitude': -37.8701756, 'longitude': 145.1863363}"
13/1528 Malvern Road,945.0,3.0,2.0,2.0,Glen Iris,VIC,3146,Apartment,"['Sacre Coeur', 'De La Salle College - Kinnoull Campus', 'Auburn High School', 'Alia College', ""St Joseph's School"", 'Port Phillip Specialist School', 'Bialik College', 'Camberwell South Primary School', ""St Roch's School"", 'Southern Autistic School', ""St Cecilia's School"", ""Korowa Anglican Girls' School"", 'Caulfield Grammar School - Malvern Campus', 'De La Salle College']",FTTP,balanced age,"{'latitude': -37.8543186, 'longitude': 145.0499882}"
3716/488 Swanston Street,500.0,2.0,1.0,0.0,Carlton,VIC,3053,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Academy of Mary Immaculate', 'Haileybury College - City Girls', 'Simonds Catholic College']",,20 - 39,"{'latitude': -37.8055641, 'longitude': 144.9633777}"
129 Blackshaws Road,650.0,3.0,1.0,1.0,Newport,VIC,3015,House,"['Australian Islamic Centre College', 'Bayside P-12 College', 'Westbourne Grammar School - Williamstown Campus', 'Annunciation School', 'Corpus Christi School', 'Williamstown High School-Bayview Campus', 'St Leo the Great Primary School', 'Emmanuel College', ""St Margaret Mary's School"", 'Sacred Heart School', 'Rosamond Special School', ""St Augustine's School"", 'Newport Lakes Primary School', 'Westbourne Grammar School', 'Rosamond Special School Olympia Street Campus']",FTTC,balanced age,"{'latitude': -37.833989, 'longitude': 144.872485}"
109/15 Balcombe Road,495.0,2.0,2.0,1.0,Mentone,VIC,3194,Apartment,"[""Mentone Girls' Grammar School"", 'Mentone Girls Secondary College', ""St Bede's College"", ""St Patrick's School"", 'Stella Maris School', ""St Joseph's School"", ""St John Vianney's School"", 'Mentone Grammar School', 'Parkdale Secondary College', 'Southern Autistic School', 'Nepean Special School', 'Kilbreda College', 'Our Lady of the Assumption School', ""St Brigid's School"", 'Mentone Primary School']",HFC,balanced age,"{'latitude': -37.9820761, 'longitude': 145.0701955}"
9/302 Golf Links Road,475.0,3.0,1.0,1.0,Narre Warren,VIC,3805,Townhouse/Villa,"['Fleetwood Primary School', 'Berry Street School - Narre Warren Campus', 'Nossal High School', 'Foundation Learning Centre - Foundation College', ""St Margaret's Berwick Grammar"", 'Insight Education Centre for the Blind and Vision Impaired', 'Alkira Secondary College', 'Cire Community School Berwick Campus', 'Don Bosco School', 'Trinity Catholic Primary School', ""St Kevin's School"", 'Southern Autistic School', 'Nepean Special School', 'Waverley Christian College - Narre Warren South Campus', 'Narre Warren South P-12 College', 'Heritage College']",FTTN,balanced age,
43 Saywell Street,750.0,4.0,2.0,7.0,North Geelong,VIC,3215,House,"['Ashby Primary School', 'Indie School Geelong', ""St Joseph's College Geelong - Westcourt Campus"", 'Holy Spirit Parish School', 'SEDA College (Victoria) - BVNV Geelong', ""St Patrick's School"", 'Clonard College', 'SEDA College (Victoria) - Multi Geelong', ""St John's Lutheran School Geelong"", 'Holy Family School', ""Geelong Lutheran College - St John's Newtown Campus"", 'Nelson Park School', 'Western Heights Secondary College', 'Matthew Flinders Girls Secondary College']",FTTP,balanced age,
227/484 Elgar Road,300.0,1.0,1.0,0.0,Box Hill,VIC,3128,Apartment,"['Our Lady of Perpetual Succour School', 'Koonung Secondary College', ""St Paul's College"", ""St Francis Xavier's School"", 'Box Hill Senior Secondary College', 'Our Holy Redeemer School', 'Berengarra School', 'Bulleen Heights School', ""St Bridget's School"", 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Our Lady of Sion College', 'Kingswood College', 'Mont Albert Primary School', ""Fintona Girls' School"", 'Bulleen Heights School-Manningham Road Campus']",HFC,20 - 39,
4/6 Virginia Street,790.0,3.0,4.0,2.0,Springvale,VIC,3171,Apartment,"['Mazenod College', 'Killester College', 'Minaret College', 'Hoa Nghiem Primary School', 'Westall Secondary College', ""St Joseph's School"", ""St Anthony's School"", 'Nazareth College', ""St John Vianney's School"", 'Springvale Rise Primary School', 'Southern Autistic School', ""St Peter's School"", 'Fitra Community School']",HFC,balanced age,
104/291 Mt Dandenong Road,470.0,2.0,1.0,1.0,Croydon,VIC,3136,Apartment,"['Yarra Valley Grammar', ""St Richard's Primary School"", 'Luther College', 'Melba Secondary College', 'Village School', 'Vermont South Special School', 'Ruskin Park Primary School', 'Tintern Grammar', 'Good Shepherd Lutheran Primary School', 'Sacred Heart School', 'St Peter Julian Eymard', 'Oxley Christian College', 'Melbourne Rudolf Steiner School']",FTTB,balanced age,
66 Innes Court,670.0,3.0,1.0,1.0,Berwick,VIC,3806,House,"['Kambrya College', 'Haileybury Girls College - Berwick Campus', 'Brentwood Park Primary School', 'Beaconhills College - Village Campus', ""St Margaret's Berwick Grammar"", 'Haileybury College - Berwick Boys', ""St Catherine's Primary School"", 'St Francis Xavier College - Berwick Campus', 'Haileybury College - Berwick Girls', 'Nepean Special School', 'St Francis Xavier College', 'Insight Education Centre for the Blind and Vision Impaired', ""St Michael's School""]",FTTP,balanced age,
1302/1 Powlett Street,1795.0,3.0,2.0,2.0,East Melbourne,VIC,3002,Apartment,"['Ozford College - Ozford College Campus', ""Stott's Colleges"", 'Ignatius Learning Centre', 'Holmes Grammar School', 'Ozford College', ""St Kevin's College - Waterford"", 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Academy of Mary Immaculate', 'Lynall Hall Community School-The Island Campus', 'Sacred Heart School', 'Collingwood College', 'Richmond West Primary School', 'Melbourne Indigenous Transition School']",FTTB,balanced age,"{'latitude': -37.81609359999999, 'longitude': 144.9849532}"
139 Drummond street,1050.0,4.0,2.0,2.0,Carlton,VIC,3053,House,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Academy of Mary Immaculate', 'Sacred Heart School', 'Simonds Catholic College']",FTTP,20 - 39,
52 Sweet Gum Avenue,710.0,5.0,2.0,4.0,Narre Warren,VIC,3805,House,"['Berry Street School - Narre Warren Campus', 'Mary MacKillop School', 'Insight Education Centre for the Blind and Vision Impaired', 'Fountain Gate Primary School', 'Lysterfield Lake College', 'Waverley Christian College - Narre Warren South Campus', 'Cire Community School Berwick Campus', 'Don Bosco School', 'Harkaway Hills College', ""St Kevin's School"", 'Southern Autistic School', 'Fountain Gate Secondary College', 'Foundation Learning Centre - Foundation College', 'Nepean Special School']",FTTC,balanced age,"{'latitude': -38.010585, 'longitude': 145.2969991}"
621/268 Flinders Street,350.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Hester Hornbrook Academy', 'Eltham College - King Street Campus', 'Haileybury College - City Girls']",FTTB,20 - 39,"{'latitude': -37.8177097, 'longitude': 144.9655575}"
13 Ucres Way,660.0,3.0,2.0,2.0,Golden Square,VIC,3555,House,"['Girton Grammar School', 'Crusoe 7-10 Secondary College', 'Kangaroo Flat Primary School', ""St Joseph's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', ""St Monica's School"", 'Girton Grammar School - Junior School', 'Creek Street Christian College', 'OneSchool Global Vic - Bendigo Centre']",FTTP,balanced age,
134 Lockwood Road,370.0,2.0,1.0,1.0,Kangaroo Flat,VIC,3555,House,"['Crusoe 7-10 Secondary College', 'Kangaroo Flat Primary School', 'Bendigo Senior Secondary College', ""St Monica's School"", 'OneSchool Global Vic - Bendigo Centre']",FTTN,balanced age,
9 Contursi Drive,475.0,3.0,2.0,1.0,Sydenham,VIC,3037,Apartment,"['Emmaus Catholic Primary School', 'Catholic Regional College Sydenham', 'Jackson School', 'Southern Cross Grammar', 'Cana Catholic Primary School', 'St Mary MacKillop Primary School', 'St George Preca School', 'Sydenham - Hillside Primary School', 'Catholic Regional College Caroline Springs', 'Gilson College', 'Overnewton Anglican Community College - Canowindra Campus', 'Resurrection School', 'Copperfield College']",FTTN,balanced age,
2908E/888 Collins Street,640.0,1.0,1.0,1.0,Docklands,VIC,3008,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Galilee Regional Catholic Primary School', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.8204734, 'longitude': 144.9425146}"
2401/8 Downie Street,500.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
2/2A Closeburn Avenue,380.0,1.0,1.0,1.0,Prahran,VIC,3181,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'The King David School - Junior School', 'Windsor Primary School', 'Our Lady of Lourdes School', 'Presentation College Windsor', 'Yeshivah College', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', 'The King David School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",HFC,balanced age,
2903/1 Freshwater Place,1.0,2.0,1.0,0.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Collingwood College']",FTTB,balanced age,
2207/5 Sutherland St,520.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",FTTB,20 - 39,"{'latitude': -37.811416, 'longitude': 144.9608504}"
29 Fernwren Drive,700.0,5.0,3.0,2.0,Berwick,VIC,3806,House,"['Kambrya College', 'Haileybury Girls College - Berwick Campus', 'SEDA College (Victoria) - AFL- Berwick', 'Beaconhills College - Village Campus', 'Haileybury College - Berwick Boys', ""St Catherine's Primary School"", 'Hillcrest Christian College', 'St Francis Xavier College - Berwick Campus', 'Haileybury College - Berwick Girls', 'Nepean Special School', 'St Francis Xavier College', 'Berwick Chase Primary School', 'Rivercrest Christian College']",FTTP,balanced age,"{'latitude': -38.0745302, 'longitude': 145.357668}"
503/42 Porter Street,285.0,1.0,1.0,0.0,Prahran,VIC,3181,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Melbourne Girls College', 'Christ Church Grammar School', 'Windsor Primary School', 'Hester Hornbrook Academy - Prahran Campus', 'Kamaruka - Primary Campus', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School']",FTTB,20 - 39,
3708/500 Elizabeth Street,550.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Simonds Catholic College', 'Haileybury Girls College - City Campus']",FTTP,20 - 39,"{'latitude': -37.8071364, 'longitude': 144.9603738}"
38 George Street,280.0,1.0,1.0,1.0,St Albans,VIC,3021,Apartment,"[""St Augustine's Primary School"", 'Catholic Regional College North Keilor', 'Jackson School', 'Catholic Regional College St Albans', 'St Mary MacKillop Primary School', 'Overnewton Anglican Community College - Yirramboi Campus', 'St Albans Secondary College', 'Sacred Heart School', 'SEDA College (Victoria) - Melbourne City Sports Development Program - Cairnlea', 'Furlong Park School For Deaf Children', ""St Paul's Kealba Catholic School"", 'Resurrection School', 'Holy Eucharist School', 'St Albans North Primary School']",HFC,balanced age,
110/253-273 Normanby Road,670.0,2.0,2.0,0.0,South Melbourne,VIC,3205,Apartment,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Southern Autistic School', 'Haileybury College - City Girls', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Haileybury College - City Boys']",,20 - 39,"{'latitude': -37.8303224, 'longitude': 144.9466255}"
