Suburb,Month,Year,Property Type,Count,Total_Price,Median
Altona,Sep,2002,Other properties,60.0,9136.0,152.26666666666668
Altona,Sep,2003,flat,684.0,117175.0,171.30847953216374
Altona,Sep,2003,house,1037.0,212232.0,204.6595949855352
Altona,Sep,2003,Other properties,97.0,16013.0,165.08247422680412
Altona,Sep,2004,flat,671.0,119690.0,178.37555886736214
Altona,Sep,2004,house,1101.0,237377.0,215.6012715712988
Altona,Sep,2004,Other properties,95.0,16333.0,171.92631578947368
Altona,Sep,2005,flat,663.0,118640.0,178.9441930618401
Altona,Sep,2005,house,1154.0,263005.0,227.90727902946273
Altona,Sep,2005,Other properties,103.0,21555.0,209.27184466019418
Altona,Sep,2006,flat,605.0,113783.0,188.0710743801653
Altona,Sep,2006,house,1121.0,267920.0,239.00089206066014
Altona,Sep,2006,Other properties,176.0,36737.0,208.73295454545453
Altona,Sep,2007,flat,624.0,127700.0,204.64743589743588
Altona,Sep,2007,house,1290.0,335416.0,260.0124031007752
Altona,Sep,2007,Other properties,214.0,64628.0,302.0
Altona,Sep,2008,flat,558.0,135770.0,243.31541218637992
Altona,Sep,2008,house,1581.0,479325.0,303.17836812144213
Altona,Sep,2008,Other properties,281.0,86705.0,308.55871886120997
Altona,Sep,2009,flat,651.0,165950.0,254.91551459293396
Altona,Sep,2009,house,1650.0,526855.0,319.3060606060606
Altona,Sep,2009,Other properties,284.0,82695.0,291.17957746478874
Altona,Sep,2010,flat,719.0,199040.0,276.8289290681502
Altona,Sep,2010,house,2125.0,705970.0,332.22117647058826
Altona,Sep,2010,Other properties,311.0,104590.0,336.3022508038585
Altona,Sep,2011,flat,801.0,227255.0,283.71410736579276
Altona,Sep,2011,house,2632.0,882370.0,335.24696048632217
Altona,Sep,2011,Other properties,350.0,138765.0,396.4714285714286
Altona,Sep,2012,flat,885.0,253500.0,286.4406779661017
Altona,Sep,2012,house,3089.0,1040760.0,336.924571058595
Altona,Sep,2012,Other properties,383.0,143550.0,374.8041775456919
Altona,Sep,2013,flat,987.0,289196.0,293.0050658561297
Altona,Sep,2013,house,2934.0,1019710.0,347.5494205862304
Altona,Sep,2013,Other properties,317.0,132014.0,416.4479495268139
Altona,Sep,2014,flat,983.0,300992.0,306.1973550356053
Altona,Sep,2014,house,2769.0,990450.0,357.6923076923077
Altona,Sep,2014,Other properties,348.0,143558.0,412.52298850574715
Altona,Sep,2015,flat,1016.0,317360.0,312.3622047244094
Altona,Sep,2015,house,3004.0,1104275.0,367.6015312916112
Altona,Sep,2015,Other properties,318.0,140045.0,440.3930817610063
Altona,Sep,2016,flat,986.0,328160.0,332.8194726166329
Altona,Sep,2016,house,3344.0,1263370.0,377.80203349282294
Altona,Sep,2016,Other properties,257.0,105660.0,411.1284046692607
Altona,Sep,2017,flat,987.0,337396.0,341.8399189463019
Altona,Sep,2017,house,3689.0,1450470.0,393.1878557874763
Altona,Sep,2017,Other properties,384.0,185534.0,483.1614583333333
Altona,Sep,2018,flat,988.0,357860.0,362.20647773279353
Altona,Sep,2018,house,3454.0,1393220.0,403.36421540243197
Altona,Sep,2018,Other properties,494.0,223320.0,452.06477732793525
Altona,Sep,2019,flat,967.0,355875.0,368.01964839710445
Altona,Sep,2019,house,3705.0,1502310.0,405.4817813765182
Altona,Sep,2019,Other properties,553.0,231815.0,419.19529837251355
Altona,Sep,2020,flat,891.0,320495.0,359.70258136924804
Altona,Sep,2020,house,3504.0,1421930.0,405.8019406392694
Altona,Sep,2020,Other properties,571.0,243975.0,427.27670753064797
Altona,Sep,2021,flat,1108.0,395790.0,357.21119133574007
Altona,Sep,2021,house,3352.0,1343820.0,400.90095465393796
Altona,Sep,2021,Other properties,511.0,248790.0,486.8688845401174
Altona,Sep,2022,flat,1146.0,415155.0,362.26439790575915
Altona,Sep,2022,house,3671.0,1555550.0,423.740125306456
Altona,Sep,2022,Other properties,486.0,230040.0,473.3333333333333
Armadale,Dec,2000,flat,575.0,112170.0,195.0782608695652
Armadale,Dec,2000,house,133.0,50537.0,379.97744360902254
Armadale,Dec,2000,Other properties,31.0,-7517.0,-242.48387096774192
Armadale,Dec,2001,flat,580.0,126025.0,217.2844827586207
Armadale,Dec,2001,house,141.0,56950.0,403.90070921985813
Armadale,Dec,2001,Other properties,43.0,-7255.0,-168.72093023255815
Armadale,Dec,2003,flat,1179.0,261165.0,221.51399491094148
Armadale,Dec,2003,house,204.0,77150.0,378.1862745098039
Armadale,Dec,2003,Other properties,95.0,9165.0,96.47368421052632
Armadale,Dec,2004,flat,556.0,125056.0,224.9208633093525
Armadale,Dec,2004,house,106.0,42270.0,398.77358490566036
Armadale,Dec,2004,Other properties,51.0,3794.0,74.3921568627451
Armadale,Dec,2005,flat,560.0,130460.0,232.96428571428572
Armadale,Dec,2005,house,83.0,40060.0,482.65060240963857
Armadale,Dec,2005,Other properties,36.0,-4165.0,-115.69444444444444
Armadale,Dec,2006,flat,553.0,138784.0,250.96564195298373
Armadale,Dec,2006,house,83.0,41576.0,500.9156626506024
Armadale,Dec,2006,Other properties,46.0,3780.0,82.17391304347827
Armadale,Dec,2007,flat,478.0,140440.0,293.8075313807531
Armadale,Dec,2007,house,85.0,45369.0,533.7529411764706
Armadale,Dec,2007,Other properties,63.0,8251.0,130.96825396825398
Armadale,Dec,2008,flat,473.0,151820.0,320.9725158562368
Armadale,Dec,2008,house,82.0,48151.0,587.2073170731708
Armadale,Dec,2008,Other properties,68.0,11849.0,174.25
Armadale,Dec,2009,flat,462.0,154369.0,334.1320346320346
Armadale,Dec,2009,house,76.0,52440.0,690.0
Armadale,Dec,2009,Other properties,58.0,3579.0,61.706896551724135
Armadale,Dec,2010,flat,474.0,167185.0,352.710970464135
Armadale,Dec,2010,house,92.0,55195.0,599.945652173913
Armadale,Dec,2010,Other properties,50.0,5540.0,110.8
Armadale,Dec,2011,flat,496.0,187540.0,378.10483870967744
Armadale,Dec,2011,house,96.0,65616.0,683.5
Armadale,Dec,2011,Other properties,39.0,-7066.0,-181.17948717948718
Armadale,Dec,2012,flat,479.0,180505.0,376.83716075156576
Armadale,Dec,2012,house,73.0,54248.0,743.1232876712329
Armadale,Dec,2012,Other properties,55.0,-1058.0,-19.236363636363638
Armadale,Dec,2013,flat,520.0,196765.0,378.3942307692308
Armadale,Dec,2013,house,91.0,70820.0,778.2417582417582
Armadale,Dec,2013,Other properties,30.0,-14390.0,-479.6666666666667
Armadale,Dec,2014,flat,530.0,203410.0,383.79245283018867
Armadale,Dec,2014,house,112.0,93360.0,833.5714285714286
Armadale,Dec,2014,Other properties,35.0,-25970.0,-742.0
Armadale,Dec,2015,flat,528.0,203125.0,384.7064393939394
Armadale,Dec,2015,house,109.0,89925.0,825.0
Armadale,Dec,2015,Other properties,22.0,-29450.0,-1338.6363636363637
Armadale,Dec,2016,flat,527.0,209600.0,397.7229601518027
Armadale,Dec,2016,house,114.0,92650.0,812.719298245614
Armadale,Dec,2016,Other properties,19.0,-31650.0,-1665.7894736842106
Armadale,Dec,2017,flat,759.0,349989.0,461.1185770750988
Armadale,Dec,2017,house,132.0,115820.0,877.4242424242424
